formula,class,Tc,reduced formula
Al0.053Ti0.947,other,0.7,Al53Ti947
Al0.0563Au0.92In0.0237,other,0.0609,Al563Au9200In237
Al0.05Au0.92In0.03,other,0.0672,Al5Au92In3
Al0.05Au0.95,other,0.0138,Al1Au19
Al0.05Nb3Sn0.95,other,18,Al1Nb60Sn19
Al0.06Au0.92Ga0.02,other,0.09,Al3Au46Ga1
Al0.06Au0.92In0.02,other,0.0619,Al3Au46In1
Al0.06V0.94,other,2.83,Al3V47
Al0.07Au0.92In0.01,other,0.0763,Al7.0000000000000Au92In1
Al0.08Au0.92,other,0.088,Al2Au23
Al0.08V0.92,other,2.36,Al2V23
Al0.102Ti0.898,other,0.73,Al1019.99999999999Ti8980
Al0.108V0.892,other,1.82,Al27V223
Al0.12V0.88,other,1.73,Al3V22
Al0.131Cr0.088V0.781,other,1.46,Al131Cr88V781
Al0.14Au0.86,other,0.385,Al7.0000000000000Au43
Al0.152Sn0.848,other,3.677,Al19Sn106
Al0.152Sn0.848,other,3.69,Al19Sn106
Al0.175Nb0.775Zr0.05,other,10,Al7Nb31Zr2
Al0.18La0.82,other,4.65,Al9La41
Al0.1Be0.9,other,7.2,Al1Be9
Al0.1Fe0.9Se0.85,Fe-si,8.5,Al2Fe18Se17
Al0.1Ga0.9V3,other,13.9,Al1Ga9V30
Al0.1Si0.9V3,other,16.1,Al1Si9V30
Al0.1V0.9,other,1.96,Al1V9
Al0.215Nb0.785,other,17.97,Al43Nb157
Al0.22La0.78,other,4.3,Al11La39
Al0.22Nb0.75Si0.3,other,19.2,Al22Nb75Si30
Al0.23Nb0.75Zr0.013,other,18.3,Al230Nb750Zr13
Al0.245Nb0.725,other,18.4,Al49Nb145
Al0.24Nb0.76,other,3.9,Al6Nb19
Al0.24Nb0.76,other,7.1,Al6Nb19
Al0.24Nb0.76,other,16.9,Al6Nb19
Al0.24Nb0.76,other,18.7,Al6Nb19
Al0.25Fe0.75Se0.85,Fe-si,8.5,Al5Fe15Se17
Al0.25La0.75,other,3.98,Al1La3
Al0.25Nb0.75,other,7,Al1Nb3
Al0.25Nb0.75,other,17.1,Al1Nb3
Al0.25Nb0.75,other,18.6,Al1Nb3
Al0.25V0.75,other,16.9,Al1V3
Al0.27La0.73,other,3.82,Al27La73
Al0.28Mg0.18,other,1.63,Al14.0000000000000Mg9
Al0.2B5Mo1.8,other,5.7,Al1B25Mo9
Al0.2La0.8,other,4.43,Al1La4
Al0.2Si0.8V3,other,15.7,Al1Si4V15
Al0.32La0.68,other,3.23,Al8La17.0000000000000
Al0.33Ge0.67,other,1.75,Al33Ge67
Al0.33Nb0.67,other,13.5,Al33Nb67
Al0.39Mg0.61,other,1.5,Al39Mg61
Al0.3Be0.7,other,6.5,Al3Be7
Al0.3Ga0.7V3,other,13.9,Al3Ga7V30
Al0.5Ga0.5Nb3,other,19,Al1Ga1Nb6
Al0.5Ga0.5V3,other,12.9,Al1Ga1V6
Al0.5Ge0.5Nb1,other,12.6,Al1Ge1Nb2
Al0.5Mo5S6Sn1,other,14.2,Al1Mo10S12Sn2
Al0.5Nb3Sn0.5,other,15.8,Al1Nb6Sn1
Al0.61Mg0.39,other,0.85,Al61Mg39
Al0.66Ge0.22Nb3.1,other,20.29,Al33Ge11Nb155
Al0.6Mg0.4,other,1.7,Al3Mg2
Al0.72Nb3.28,other,6.2,Al9Nb41
Al0.75Ge0.25Nb0.003,other,20.7,Al750Ge250Nb3
Al0.75Ge0.25Nb3,other,20.2,Al3Ge1Nb12
Al0.75Ge0.25Nb3.8,other,20.34,Al15Ge5Nb76
Al0.77Ge0.23Nb3,other,20.75,Al77Ge23Nb300
Al0.8Ge0.2Nb3,other,20.05,Al4Ge1Nb15
Al0.8Ge0.2Nb3,other,20.7,Al4Ge1Nb15
Al0.95B0.05Nb3,other,19.1,Al19B1Nb60
Al0.95Be0.05Nb3,other,19.6,Al19Be1Nb60
Al0.95Li0.05,other,1.13,Al19Li1
Al0.95Nb3Sb0.5,other,17.81,Al19Nb60Sb10
Al0.964Ge0.036,other,2.74,Al241Ge9
Al0.97Li0.03,other,1.05,Al97Li3
Al0.992Zn0.008,other,1.132,Al124Zn1
Al0.997Er0.003,other,1.658,Al997Er3
Al0.998Mn0.002,other,0.262,Al499Mn1
Al0.999Fe0.001,other,1.5,Al999Fe1
Al0.999Mn0.001,other,0.596,Al999Mn1
Al0.99Li0.01,other,1.07,Al99Li1
Al0.9As0.05Ga0.05Nb3,other,19.2,Al18As1Ga1Nb60
Al0.9Ga0.1Nb3,other,17.7,Al9Ga1Nb30
Al0.9Ge0.1,other,6.45,Al9Ge1
Al0.9Ge0.1Nb3,other,18.9,Al9Ge1Nb30
Al0.9Li0.1,other,1.29,Al9Li1
Al0.9Nb3Sb0.1,other,18.06,Al9Nb30Sb1
Al1,other,1.159,Al1
Al1,other,1.16,Al1
Al1,other,1.163,Al1
Al1,other,1.17,Al1
Al1,other,1.175,Al1
Al1,other,1.1793,Al1
Al1,other,1.18,Al1
Al1,other,1.3,Al1
Al1,other,1.8,Al1
Al13Os3.2Ru0.8,other,4,Al65Os16Ru4
Al13Os4,other,5.3,Al13Os4
Al13Os4,other,5.5,Al13Os4
Al1Au4,other,0.4,Al1Au4
Al1Au4,other,0.7,Al1Au4
Al1Ce0.0165La3,other,1.45,Al2000Ce33La6000
Al1Ce0.017La3,other,0.77,Al1000Ce17La3000
Al1Ce0.01La3,other,3.92,Al100Ce1La300
Al1Cr0.3Nb2.7,other,14.1,Al10Cr3Nb27
Al1Cu1,other,3.45,Al1Cu1
Al1Gd0.001La3,other,5.6,Al1000Gd1La3000
Al1Gd0.003La3,other,4.58,Al1000Gd3La3000
Al1Gd0.0065La3,other,2.79,Al2000Gd13La6000
Al1Ge1,other,5.5,Al1Ge1
Al1Ge1Nb3,other,19.5,Al1Ge1Nb3
Al1Ge2,other,1.75,Al1Ge2
Al1La3,other,5.8,Al1La3
Al1La3,other,6,Al1La3
Al1La3,other,6.16,Al1La3
Al1Mo3,other,0.58,Al1Mo3
Al1Mo6Pd1,other,2.1,Al1Mo6Pd1
Al1N1,other,1.55,Al1N1
Al1Nb1Sn1,other,17.45,Al1Nb1Sn1
Al1Nb2.1V0.9,other,12.5,Al10Nb21V9
Al1Nb2.7V0.3,other,15.4,Al10Nb27V3
Al1Nb2Ni1,other,4.2,Al1Nb2Ni1
Al1Nb3,other,3.1,Al1Nb3
Al1Nb3,other,9.9,Al1Nb3
Al1Nb3,other,16.84,Al1Nb3
Al1Nb3,other,17.11,Al1Nb3
Al1Nb3,other,17.4,Al1Nb3
Al1Nb3,other,17.5,Al1Nb3
Al1Nb3,other,17.8,Al1Nb3
Al1Nb3,other,17.9,Al1Nb3
Al1Nb3,other,18.1,Al1Nb3
Al1Nb3,other,18.2,Al1Nb3
Al1Nb3,other,18.45,Al1Nb3
Al1Nb3,other,18.52,Al1Nb3
Al1Nb3,other,18.6,Al1Nb3
Al1Nb3,other,18.7,Al1Nb3
Al1Nb3,other,18.8,Al1Nb3
Al1Os1,other,0.39,Al1Os1
Al1Pb1,other,1.2,Al1Pb1
Al1Sb1,other,2.8,Al1Sb1
Al1Sc1Au2,other,4.4,Al1Sc1Au2
Al1Sr2Ca1.4Y0.6Cu3O9.1,CuO,14,Al10Sr20Ca14Y6Cu30O91
Al1Sr2Ca2Cu3O10.1,CuO,76,Al10Sr20Ca20Cu30O101
Al1Sr2Ca2Cu3O9.3,CuO,63,Al10Sr20Ca20Cu30O93
Al1Sr2Ca2Cu3O9.5,CuO,69,Al2Sr4Ca4Cu6O19
Al1Sr2Ca2Cu3O9.7,CuO,72,Al10Sr20Ca20Cu30O97
Al1Sr2Ca2Cu3O9.9,CuO,77,Al10Sr20Ca20Cu30O99
Al1Sr2Ho0.4Ca0.6Cu2O7,CuO,24,Al5Sr10Ho2Ca3Cu10O35
Al1Sr2Ho0.5Ca0.5Cu2O7.05,CuO,18,Al20Sr40Ho10Ca10Cu40O141
Al1Ta3,other,1.59,Al1Ta3
Al1V3,other,10.3,Al1V3
Al1Zr3,other,0.73,Al1Zr3
Al2.06Cu1,other,0.65,Al103Cu50
Al20.3V2,other,1.49,Al203V20
Al20.3V20,other,1.49,Al203V200
Al25Nb75,other,17.5,Al1Nb3
Al2Au1,other,0.095,Al2Au1
Al2C1Mo3,other,8.2,Al2C1Mo3
Al2C1Mo3,other,9,Al2C1Mo3
Al2C1Mo3,other,9.1,Al2C1Mo3
Al2C1Mo3,other,9.8,Al2C1Mo3
Al2Ca1Si1,other,5.8,Al2Ca1Si1
Al2Cu1,other,1.02,Al2Cu1
Al2Gd0.002La0.998,other,2.45,Al1000Gd1La499
Al2La1,other,0.3,Al2La1
Al2La1,other,2.237,Al2La1
Al2La1,other,3.229,Al2La1
Al2La1,other,3.24,Al2La1
Al2La1,other,3.25,Al2La1
Al2La1,other,3.273,Al2La1
Al2Mg2,other,0.84,Al1Mg1
Al2N1Nb3,other,1.3,Al2N1Nb3
Al2Pt1,other,0.48,Al2Pt1
Al2Pt1,other,0.55,Al2Pt1
Al2Zr1,other,0.35,Al2Zr1
Al3Mg2,other,0.84,Al3Mg2
Al3Mg2,other,0.87,Al3Mg2
Al3Nb3,other,18.4,Al1Nb1
Al3Os1,other,5.9,Al3Os1
Al3Tl1,other,0.75,Al3Tl1
Al3Yb1,other,0.94,Al3Yb1
Al5Re24,other,3.35,Al5Re24
Al6Re1,other,1.85,Al6Re1
Al99.925Mn0.075,other,0.7,Al3997Mn3
As0.15Bi0.15Nb3Sn0.7,other,18.07,As3Bi3Nb60Sn14
As0.15Ga0.15Nb3Sn0.7,other,18.01,As3Ga3Nb60Sn14
As0.15In0.15Nb3Sn0.7,other,17.99,As3In3Nb60Sn14
As0.15Nb3Pb0.15Sn0.7,other,18.05,As3Nb60Pb3Sn14
As0.15Nb3Sn0.7Tl0.15,other,17.98,As3Nb60Sn14Tl3
As0.15Nb3Sn0.85,other,17.98,As3Nb60Sn17
As0.1P0.9,other,9.9,As1P9
As0.25Se0.75Y1,other,0.78,As1Se3Y4
As0.33In1Te0.67,other,0.85,As33In100Te67
As0.5In1Te0.5,other,0.44,As1In2Te1
As0.5Ni0.06Pd0.44,other,1.39,As25Ni3Pd22
As1,other,0.2,As1
As1,other,2,As1
As1,other,2.4,As1
As1,other,2.7,As1
As1Bi1Pb1,other,9,As1Bi1Pb1
As1Bi1Pb1Sb1,other,9,As1Bi1Pb1Sb1
As1Cr1,other,1.506,As1Cr1
As1Cr1,other,2.17,As1Cr1
As1Cr1,other,1.506,As1Cr1
As1Ga1,other,3,As1Ga1
As1Ga1,other,4.5,As1Ga1
As1Ga1,other,4.8,As1Ga1
As1Ga1,other,6.2,As1Ga1
As1Ga1,other,10,As1Ga1
As1Ge1,other,3.5,As1Ge1
As1Nb3,other,0.25,As1Nb3
As1Nb3,other,0.31,As1Nb3
As1Nb3,other,6.5,As1Nb3
As1Ni0.12Pd0.88,other,1.39,As25Ni3Pd22
As1Ni0.25Pd0.75,other,1.34,As4Ni1Pd3
As1Ni0.25Pd0.75,other,1.6,As4Ni1Pd3
As1Pb1,other,8.4,As1Pb1
As1Pd2,other,0.6,As1Pd2
As1Pd2,other,1.7,As1Pd2
As1Pd5,other,0.46,As1Pd5
As1Rh1,other,0.58,As1Rh1
As1Rh1.4,other,0.03,As5Rh7
As1Sn1,other,3.41,As1Sn1
As1Sn1,other,4.1,As1Sn1
As2Cd1Ge1,other,3.02,As2Cd1Ge1
As2Cd1Sn1,other,2.29,As2Cd1Sn1
As2Mo1,other,0.41,As2Mo1
As2Pd5,other,0.46,As2Pd5
As2Sn3,other,3.5,As2Sn3
As2Te3,other,4.4,As2Te3
As2W1,other,0.9,As2W1
As3La4,other,6.5,As3La4
As3Pd5,other,24.761,As3Pd5
As3Sn4,other,1.16,As3Sn4
As3Sn4,other,1.23,As3Sn4
Au0.05Zr0.95,other,1.79,Au1Zr19
Au0.075Sb0.85Te0.075,other,4.5,Au3Sb34Te3
Au0.07Zr0.93,other,2.52,Au7.0000000000000Zr93
Au0.098Pd0.02Ga2,other,1.51,Au49Pd10Ga1000
Au0.125Sb0.75Te0.125,other,6.7,Au1Sb6Te1
Au0.12Zr0.88,other,2.78,Au3Zr22
Au0.14Te0.86,other,1.7,Au7.0000000000000Te43
Au0.15Sb0.85,other,8.1,Au3Sb17
Au0.15Te0.85,other,1.64,Au3Te17
Au0.167Pd0.166Te0.667,other,4.6,Au167Pd166Te667
Au0.16Te0.84,other,1.71,Au4Te21
Au0.18Te0.82,other,1.56,Au9Te41
Au0.1C1.3Y0.9,other,10.1,Au1C13Y9
Au0.1Sb0.8Te0.1,other,6,Au1Sb8Te1
Au0.1Sb0.9,other,7,Au1Sb9
Au0.1Sb0.9,other,8,Au1Sb9
Au0.1Zr0.9,other,2.78,Au1Zr9
Au0.22La0.78,other,3.4,Au11La39
Au0.22Nb0.78,other,7.6,Au11Nb39
Au0.22Te0.78,other,1.54,Au11Te39
Au0.23V0.77,other,0.66,Au23V77
Au0.242Nb0.758,other,10.56,Au121Nb379
Au0.24La0.76,other,3.28,Au6La19
Au0.24La0.76,other,4,Au6La19
Au0.24Nb0.76,other,10.56,Au6Nb19
Au0.24Nb0.76,other,11,Au6Nb19
Au0.24Te0.76,other,1.72,Au6Te19
Au0.25Nb0.75,other,11,Au1Nb3
Au0.25Nb0.75,other,11.2,Au1Nb3
Au0.25Te0.75,other,1.85,Au1Te3
Au0.278Ga0.722,other,1.615,Au139.000000000000Ga361
Au0.27Tl0.73,other,2.04,Au27Tl73
Au0.281Ga0.719,other,1.587,Au281.000000000000Ga719
Au0.28Te0.72,other,1.96,Au7.0000000000000Te18
Au0.293Ga0.707,other,1.63,Au293Ga707
Au0.2B5Mo1.8,other,4.5,Au1B25Mo9
Au0.2Ga0.8,other,1.587,Au1Ga4
Au0.2La0.8,other,3.71,Au1La4
Au0.2La0.8,other,4.23,Au1La4
Au0.2Nb0.8,other,5,Au1Nb4
Au0.2Nb0.8,other,7.9,Au1Nb4
Au0.2Pd1.8In1Y1,other,1.24,Au1Pd9In5Y5
Au0.2Sb0.6Te0.2,other,6.6,Au1Sb3Te1
Au0.2Sn0.8,other,2.38,Au1Sn4
Au0.2Te0.8,other,1.48,Au1Te4
Au0.328Ga0.672,other,1.668,Au41Ga84
Au0.332Te0.668,other,1.89,Au83Te167
Au0.33La0.67,other,3.2,Au33La67
Au0.35Te0.65,other,1.58,Au7Te13
Au0.374Te0.626,other,1.3,Au187Te313
Au0.388Ga0.612,other,1.355,Au97Ga153
Au0.3Pd0.033Te0.666,other,2.6,Au100Pd11Te222
Au0.3Te0.7,other,1.99,Au3Te7
Au0.41Ge0.59,other,2.2,Au41Ge59
Au0.427Ga0.573,other,1.378,Au4270Ga5729.9999999999
Au0.499Ga0.501,other,1.17,Au499Ga501
Au0.4Ge0.6,other,0.32,Au2Ge3
Au0.5Ge0.5,other,3.6,Au1Ge1
Au0.5Rh0.4Ti0.91,other,3,Au50Rh40Ti91
Au0.635Ge0.205Yb0.16,other,0.325,Au127Ge41Yb32
Au0.64Ge0.22Yb0.14,other,0.655,Au32Ge11Yb7.0000000000000
Au0.65Pt0.35Te2,other,4.1,Au13Pt7Te40
Au0.7Nb3Pt0.3,other,12.5,Au7Nb30Pt3
Au0.835Sn0.165,other,0.59,Au167Sn33
Au0.845Sn0.155,other,0.53,Au169Sn31
Au0.84In0.16,other,0.035,Au21In4
Au0.855Sn0.145,other,0.43,Au171Sn29
Au0.85Pd0.15Ga2,other,1.79,Au17Pd3Ga40
Au0.865Sn0.135,other,0.435,Au173Sn27
Au0.875Sn0.125,other,0.33,Au7Sn1
Au0.885Sn0.115,other,0.21,Au177Sn23
Au0.8In0.2,other,0.28,Au4In1
Au0.915In0.085,other,0.031,Au183In17.0000000000000
Au0.91In0.09,other,0.0423,Au91In9
Au0.92Ga0.02In0.06,other,0.0425,Au46Ga1In3
Au0.92Ga0.04In0.04,other,0.0682,Au23Ga1In1
Au0.92Ga0.068In0.012,other,0.137,Au230Ga17In3
Au0.92Ga0.06In0.02,other,0.13,Au46Ga3In1
Au0.92Ga0.08,other,0.168,Au23Ga2
Au0.92In0.08,other,0.022,Au23In2
Au0.92In0.08,other,0.0256,Au23In2
Au0.93In0.07,other,0.0164,Au93In7.0000000000000
Au0.93Pd0.07Ga2,other,1.773,Au93Pd7.0000000000000Ga200
Au0.94In0.06,other,0.0111,Au47In3
Au0.95Ga0.05,other,0.032,Au19Ga1
Au0.95Pd0.5Ga2,other,1.75,Au19Pd10Ga40
Au0.95Sn0.05,other,0.047,Au19Sn1
Au0.976Pd0.024Ga2,other,1.56,Au122Pd3Ga250
Au0.978In0.022,other,0.0005,Au489In11
Au0.988Pd0.012Ga2,other,1.25,Au247Pd3Ga500
Au0.98Pd0.02Ga2,other,1.51,Au49Pd1Ga100
Au0.9Ga0.1,other,0.264,Au9Ga1
Au0.9In0.1,other,0.0625,Au9In1
Au0.9In0.1,other,0.0641,Au9In1
Au0.9In0.1,other,0.077,Au9In1
Au1.3Pd0.7In1Y1,other,2.68,Au13Pd7In10Y10
Au1.6Pd0.4In1Y1,other,2.64,Au8Pd2In5Y5
Au1.8Pd0.2In1Y1,other,2.27,Au9Pd1In5Y5
Au16.7Pd16.6Te66.7,other,4.6,Au167Pd166Te667
Au1Be1,other,0.91,Au1Be1
Au1Be1,other,2.64,Au1Be1
Au1Ga1,other,1.2,Au1Ga1
Au1Ga2,other,1.12,Au1Ga2
Au1Ga2,other,1.14,Au1Ga2
Au1Ga2,other,1.15,Au1Ga2
Au1Ga2,other,1.9,Au1Ga2
Au1Ga40Mo8,other,9.4,Au1Ga40Mo8
Au1Ge1,other,2.7,Au1Ge1
Au1In1,other,0.4,Au1In1
Au1In1,other,0.6,Au1In1
Au1In2,other,0.22,Au1In2
Au1Lu1,other,0.37,Au1Lu1
Au1Nb3,other,1.2,Au1Nb3
Au1Nb3,other,1.5,Au1Nb3
Au1Nb3,other,10.56,Au1Nb3
Au1Nb3,other,10.6,Au1Nb3
Au1Nb3,other,10.7,Au1Nb3
Au1Nb3,other,10.8,Au1Nb3
Au1Nb3,other,11.08,Au1Nb3
Au1Nb3,other,11.1,Au1Nb3
Au1Nb3,other,11.22,Au1Nb3
Au1Nb3,other,11.23,Au1Nb3
Au1Nb3,other,11.5,Au1Nb3
Au1Pb2,other,3.1,Au1Pb2
Au1Pb2,other,4.42,Au1Pb2
Au1Pb3,other,4.25,Au1Pb3
Au1Pb3,other,4.4,Au1Pb3
Au1Pd1In1Y1,other,2.3,Au1Pd1In1Y1
Au1Sb2,other,0.58,Au1Sb2
Au1Sc1,other,2,Au1Sc1
Au1Sn1,other,1.25,Au1Sn1
Au1Ta4.3,other,0.51,Au10Ta43
Au1Te2,other,1.8,Au1Te2
Au1Te2,other,2.3,Au1Te2
Au1Tl1,other,1.92,Au1Tl1
Au1Tl2,other,4.25,Au1Tl2
Au1V3,other,0.74,Au1V3
Au1V3,other,1.755,Au1V3
Au1V3,other,2.731,Au1V3
Au1V3,other,2.9,Au1V3
Au1V3,other,2.97,Au1V3
Au1Zn3,other,1.21,Au1Zn3
Au1Zn3,other,1.28,Au1Zn3
Au1Zr3,other,0.92,Au1Zr3
Au22La78,other,3.934,Au11La39
Au25Sb75,other,6.7,Au1Sb3
Au2Bi1,other,1.7,Au2Bi1
Au2Bi1,other,1.84,Au2Bi1
Au2Bi1,other,1.7,Au2Bi1
Au2In1Y1,other,1.74,Au2In1Y1
Au2Pb1,other,1.18,Au2Pb1
Au2Pb1,other,1.2,Au2Pb1
Au2Pb1,other,1.3,Au2Pb1
Au2Pb1,other,6.95,Au2Pb1
Au2Pb1,other,1.2,Au2Pb1
Au2Pb1,other,1.3,Au2Pb1
Au30Pd3.3Te66.6,other,2.6,Au100Pd11Te222
Au3Te5,other,1.62,Au3Te5
Au5Ba1,other,0.4,Au5Ba1
Au5Ca1,other,0.34,Au5Ca1
Au5Sn1,other,0.7,Au5Sn1
Au5Sn1,other,1.1,Au5Sn1
Au63.5Ge20.5Yb16,other,0.36,Au127Ge41Yb32
Au63.5Ge20.5Yb16,other,0.36,Au127Ge41Yb32
Au64Ge22Yb14,other,0.68,Au32Ge11Yb7
Au64Ge22Yb14,other,0.68,Au32Ge11Yb7
B0.015C0.985,other,12,B3C197
B0.039C0.961Si1,other,1.4,B39C961Si1000
B0.03C0.51Mo0.47,other,12.5,B3C51Mo47
B0.048C0.952,other,6.6,B6C119
B0.057Si0.943,other,0.34,B57Si943
B0.3Ru0.7,other,2.58,B3Ru7
B0.67Mg0.33,other,6.1,B67Mg33
B0.69Mg0.31,other,5.7,B6899.9999999999Mg3100
B0.6C0.4Sr0.5Ba1.5Ca2Cu3O9,CuO,119,B6C4Sr5Ba15Ca20Cu30O90
B0.978C0.022Si1,other,1.35,B489C11Si500
B1,other,6,B1
B1,other,11,B1
B105,other,1.5,B1
B12Li1.7,other,7.05,B120Li17
B12Li2.5,other,6.62,B24Li5
B12Lu1,other,0.4,B12Lu1
B12Lu1,other,0.42,B12Lu1
B12Lu1,other,0.44,B12Lu1
B12Lu1,other,0.48,B12Lu1
B12Sc1,other,0.39,B12Sc1
B12Y1,other,4.7,B12Y1
B12Yb0.01Zr0.99,other,4.4,B1200Yb1Zr99
B12Zr1,other,5.82,B12Zr1
B12Zr1,other,5.85,B12Zr1
B12Zr1,other,5.94,B12Zr1
B12Zr1,other,5.97,B12Zr1
B12Zr1,other,6,B12Zr1
